Bologna,"We develop a matlab tool to analyze such kind of bacterium imagine that can be acquired in different format (jpg, bpm, tiff). For each segmented bacteria the software computes the size in pixel, the mean and standard deviation of intensity florescence. Main frame the algorithm reads fluorescence images and converts it into a ""black and white"" one. In the next step the global threshold is computed in order to convert an intensity image to a binary image using otsus method. The image is then ready to be scanned, pixel by pixel, to detect bacteria (cluster  of pixels) and obtain informations about their area, fluorescence mean and standard deviation.",2008
Edinburgh,"Background many software tools (such as copasi and simbiology) are available for simulation and analysis of biological circuits using mathematical models. Therefore we developed a web tool called mgec (modeling genetically engineered circuits) to address this issue. Through mgec, one only needs to tell which genes and promoters are assembled in order to form their gene circuit - a preliminary model in sbml format will be automatically generated for the circuit. Design of mgec database a key technology used for engineering gene circuit in synthetic biology research and the igem competition is the recombination of genes with different promoters. Therefore the focus of mgec is also on the promoters which link the signal, transcription factor (tf) with the regulated genes.",2008
Newcastle University,"One person was lead developer for each module, but the developers worked in the same lab, and had frequent formal and informal discussions in order to develop software which works together and provides the necessary functionality. Constraints define whether these parts can fit together. The workbench takes a user defined structure, together with a desired behavior, and presents this to the evolutionary algorithm. The evolutionary algorithm evolves potential solutions, starting with the provided structure. It generates a range of potential solutions by requesting different parts from the parts repository, assembling them according to information retrieved from the constraints repository, and assessing the fitness value of the mutated circuit based upon how well this satisfies the objective.",2008
Bologna,"I. asimov the softwares baser n.b. We had problems uploading the .zip file, to get the software just email: jflegias at gmail dot com or andrea.samore at unibo dot it note: matlab with bioinformatics toolbox required; after decompacting the file, read readme.txt more details about baser here download vifluor note: matlab required; after decompacting the file, read readme.txt more details about vifluor here 1 baserbest sequence research by andrea and elisa aims baser is a computer program developed to design synthetic dna sequences whose transcribed rnas: a) feature maximal free energy in the secondary structure (i.e. Reducing the probability of its intra-molecular annealing); b) have minimal unwanted interactions with genomic mrna; c) present a minimal probability of partial/shifted hybridization with complementary strands. These specifications are required for the proper engineering of the trans and cis complementary sequences, whose functions are described in the t-rex device. Cis and trans sequences the cis-repressing (rna secondary structure in fig.",2009
Slovenia,Unable to retrieve Slovenia software.,2009
UNIPV-Pavia,"Its a matlab graphics interface that allows you to align the results of the sequencing procedures with expected sequences, built up assembling simple parts (biobricks) according to the rules of standard assembly (modality of use compare sequence/biobrick). It offers also the possibility of simply align two sequences (modality of use compare two sequences). Sequencealignment executable files for windows platforms and the relative user's guide can be downloaded free of charge for non-profit institutions from the following web site: download sequencealignment. Modality of use compare sequence/biobrick modality of use compare two sequences modality of use compare sequence/biobrick at work an example of report (modality of use compare sequence/biobrick) retrieved from ""http://2009.igem.org/team:unipv-pavia/software"" recent changes what links here related changes special pages my preferences printable version permanent link privacy policy disclaimers",2009
KAIST-Korea,"Main software cartographer software tools for finding protein path between two proteins -now developing- tools not main software but used usefully for our team's project + others mblastsys perform aumtomated blast run for many sequence files against given db. Biobricks db local blast db file made of biobrick sequences only. Retrieved from ""http://2010.igem.org/team:kaist-korea/software"" recent changes what links here related changes special pages my preferences printable version permanent link privacy policy disclaimers",2010
ZJU-China,"In sequence optimization, bach incorporates 4 distinct approaches from which users can freely choose: synonymous substitution, slow, fast and match. In the last section of get rips, users are provided with a quantitative view of the translational behavior of the input coding sequence and the four sequences produced by the four methods as well. Run bach for the following research needs: heterologous protein expression evaluation of translation rates and behavior design of more predictable and robust genetic circuits run bach for the following benefits: diverse optimization approaches of choice quantitative analysis of translational behavior free and easy to use system requirement operating system: recommended os: windows 7 32-bit operating system minimum os: windows xp 32-bit operating system hardware configuration: no strict limits. Recommended configuration: ram 1gb 	 hard disk 100gb 	 cpu 1.66ghz bach for download (include user guide manual): bach binary executable file manual for download: user guide manual project source code for download: project source code for more information about bach on its algorithm and using, please refer to the manual. Copyright bach is copyrignt zju-china igem 2010.",2010
BIOTEC Dresden,Unable to retrieve BIOTEC Dresden software.,2010
Paris Liliane Bettencourt,"We initially wanted to try to use this software to predict who would win igem, but  as it turns out it is useful for lots of other fun things as well. To analyse the wikis, we have implemented an algorithm that uses statistically improbable phrases (sip) to try and extract the meaning of a text, an approach which has been used recently by amazon to find relationships between books. An sip is a word that appears with a higher frequency in your target (whether it is a book, or an igem wiki) than in a large dataset of background text. More formally: f the frequency of the word in the target: f = o/n (o is the occurence of the word, and n the number of words in the wiki). Our algorithm uses all igem wikis as a background dataset, and then tries to find sips for each individual wiki.",2010
