Bologna," We develop a matlab tool to analyze such kind of bacterium imagine that can be acquired in different format (jpg, bpm, tiff). For each segmented bacteria the software computes the size in pixel, the mean and standard deviation of  intensity florescence. In the next step the global threshold is computed in order to convert an intensity image to a binary image using otsu’s method. The image is then ready to be scanned, pixel by pixel, to detect bacteria (cluster  of pixels) and obtain informations about their area, fluorescence mean and standard deviation. Fluorescence intensity ( definite by the std\mean ratio referred to each bacteria): this values consent to throw away the bacteria that lie on another focal layer or that aren’t focused correctly.",2008
Edinburgh," However, most tools require the users to convert a designed circuit into a set of reaction equations for modelling. Therefore we developed a web tool called mgec (modeling genetically engineered circuits) to address this issue. Through mgec, one only needs to tell which genes and promoters are assembled in order to form their gene circuit - a preliminary model in sbml format will be automatically generated for the circuit. Therefore the focus of mgec is also on the promoters which link the signal, transcription factor (tf) with the regulated genes. The hill equation is used for the kinetic equation of the production process and mass action kinetics for the degradation.",2008
Newcastle University," One person was lead developer for each module, but the developers worked in the same lab, and had frequent formal and informal discussions in order to develop software which works together and provides the necessary functionality. The workbench takes a user defined structure, together with a desired behavior, and presents this to the evolutionary algorithm. The evolutionary algorithm evolves potential solutions, starting with the provided structure. It generates a range of potential solutions by requesting different parts from the parts repository, assembling them according to information retrieved from the constraints repository, and assessing the fitness value of the mutated circuit based upon how well this satisfies the objective. Once an acceptable regulatory network has been discovered, this model is sent to the model-to-sequence converter, which uses the parts to derive a dna sequence that encodes the necessary behaviour, while satisfying sequence constraints, such as avoiding long duplicate regions that could trigger rearrangements in-vivo, or low-complexity regions that would make dna synthesis more difficult.",2008
Bologna," These specifications are required for the proper engineering of the trans and cis complementary sequences, whose functions are described in the t-rex device. After having generated a 50b-long sequence, baser performs the conformity test to check that the sequence does not contain: a) more than 5 adjacent repeats of the same nucleotide (to avoid transcription errors); b) restriction sites; c) rbs sequences. If one among these conditions occurs, a new sequence is generated until the conformity test is passed. Thereafter the rbs sequence, chosen by the user, is linked downstream of its 3’ end to obtain what is called the “current” sequence. After score computation, five adjacent nucleotides in the “current” sequence are substituted with a randomly-picked block from the bf, originating a new sequence.",2009
Slovenia,Unable to retrieve Slovenia software.,2009
UNIPV-Pavia," It’s a matlab graphics interface that allows you to align the results of the sequencing procedures with expected sequences, built up assembling simple parts (biobricks) according to the rules of standard assembly (modality of use compare sequence/biobrick).",2009
KAIST-Korea,Unable to retrieve KAIST-Korea software.,2010
ZJU-China," In sequence optimization, bach incorporates 4 distinct approaches from which users can freely choose: synonymous substitution, slow, fast and match. In the last section of get rips, users are provided with a quantitative view of the translational behavior of the input coding sequence and the four sequences produced by the four methods as well. All rights reserved. For further queries related to bach program, please contact us through the email of wendyhu001@gmail.com. Any reports of failure or suggestions on bach are welcome.",2010
BIOTEC Dresden,Unable to retrieve BIOTEC Dresden software.,2010
Paris Liliane Bettencourt," We initially wanted to try to use this software to predict who would win igem, but  as it turns out it is useful for lots of other fun things as well. To analyse the wikis, we have implemented an algorithm that uses statistically improbable phrases (sip) to try and extract the meaning of a text, an approach which has been used recently by amazon to find relationships between books. An sip is a word that appears with a higher frequency in your target (whether it is a book, or an igem wiki) than in a large dataset of background text. Our algorithm uses all igem wikis as a background dataset, and then tries to find sips for each individual wiki. Our software's workflow is essentially as follows: we use wget to retrieve all of the wiki pages from the igem server.",2010
TU Munich," This is a basic requirement for the creation of better rna devices. Protocols as well as our daily lab book will clarify any question about our lab proceedings. It also encourages to think about responsibilities, safety and risks in the field of biotechnology. Furthermore, igem is about working together and helping other teams in various aspects. Although we  have not yet been able to create a reliable and robust switch in the lab, we still want to demonstrate the power and simplicity of our approach: the following program (written in java) allows the user to put together a network of logic gates and biobricks as input and output.",2010
Warsaw," Biobrick manager is extremely useful tool which helps you with planning your experiments or preparing printable instructions for others. Biobrick manager is the first program that uses biobrick xml representation! We hope that this xml will spread all over the world and make bioinformatic work in synthetic biology easier and more enjoyable. It's a web application, so you only need a browser and internet connection to use it. Almost everything is done by client - xml operations, drawing bricks, connecting them.",2010
Mexico-UNAM-CINVESTAV," As an igem participant we found additional issues, different teams working with different protocols, many databases file formats running on the web, hundreds of tools to work with biological data, a plenty of programming languages. Analyze our sequences looking for restriction sites (in case of bb rfc 10, ecori xbai spei psti noti. If we are going to take it from an organism, we have to design primer to amplify our biobrick with a pcr, this primers has the prefix and suffix from the chosen standard, if not send the sequences for sinthesize. Analyze our sequences looking for restriction sites (in case of bb rfc 10, ecori xbai spei psti noti. If we are going to take it from an organism, we have to design primer to amplify our biobrick with a pcr, this primers has the prefix and suffix from the chosen standard, if not send the sequences for sinthesize.",2010
Alberta," Github is also an online coding community and makes collaboration easy. Bringing the lab manual into the twenty-first century, genomikon.ca compliments the kit. It will not only inform students, but also empower them to create their own experiments and share them with the world in an online, diy molecular biology community. Afterwards, the student can add further instructions and descriptions to the experimental plan to show how the transformed cells are to be used. Then, the experimental plan can be published and let loose into the online community at genomikon.ca, where other students and molecular biology experiments can try the experiment themselves.",2010
Toronto,Unable to retrieve Toronto software.,2010
Dundee," The app also contains a genetic codon lookup table allowing all corresponding codons for an amino acid to be looked up. As of friday october 28, 2011, both android apps had over 950 downloads worldwide, while the iphone apps had been downloaded over 400 times. For successful and efficient translation, the codon usage of the newly introduced gene must be optimised to match the trna pool of the host organism. However, if one simply picked the most common codon for each amino acid, the rate of translation would likely be extremely fast across the entire gene. For example, it has been suggested that in certain regions of the gene, the source organism may ‘choose’ a short run of rare codons, in order to slow down translation in that region.",2011
Imperial College London," It is tempting to think that one could codon optimise a sequence by selectively using an organism’s preferred codons. Recent optimisation studies[1] have highlighted the importance of maintaining a diverse codon population in a given coding sequence. This said, the inclusion of ‘rare codons’ has also been shown to dramatically reduce protein expression e. This was achieved by weighting codon selection using bias tables obtained from the codon usage database[3]. The dna sequences generated in the first 100 cycles were then fed into  genscript’s codon adaptation index (cai) analyser .",2011
Potsdam Bioware," During our igem project we created an application for smartphones that helps you to keep your lab book on your smartphone! Check marks help you to assign steps you already finished. And if something unusual or something interesting or unexpected happens while you are performing a step from the protocol you can write and store comments within every item of a protocol list. You can plan your experiments while having a beer with your friends, discuss protocols while having lunch with your colleagues or check the safety issues of an experiment during a ride to the lab! After igem 2011, the most recent version of the app is available on our web-site http://www.betterprotocols.org.",2011
Sevilla," These activities are complemented by other groups in the synbiont synthetic biology network for modelling and programming cell-cell interactions. A multi-compartmental stochastic simulator based on gillespie’s stochastic simulation algorithm for multi-cellular systems. Formal model analysis using the stochastic model checkers prism and mc2 for the study of temporal and spatial model properties. Structural and parameter model optimisation using evolutionary algorithms to automatically generate models whose dynamics match specified targets. We've been using google code to keep our code online, with gnu gpl v3 license.",2011
Warsaw," Biotech., 2009] which depends on nupack and vennarna software packages. After importing project to eclipse please change executables.expressionadaptorgenerator.viennarnapath to reflect location of nupack and vienna executables (usualy /usr/local/bin). Calling copy constructor datastructures.generation(generation prevgen) causes automaticaly random recombination of adaptors, their mutation and calculation of expression srtength for all proteins defined in proteins array of particular generation class instance. Additionally expressionadaptorsgenerator saves each generation of adaptors to separate file generationxxx.sav in save directory. This provides resume point i case of abnormal termination of the program and also serves as a data source for the second program - generationtofasta.",2011
